StringID   Type       x          y          demand     ReadyTime  DueDate    ServiceTime 
D0         d          40.0       50.0       0.0        0.0        3390.0     0.0        
S0         f          40.0       50.0       0.0        0.0        3390.0     0.0        
S1         f          73.0       52.0       0.0        0.0        3390.0     0.0        
S3         f          55.0       79.0       0.0        0.0        3390.0     0.0        
S8         f          4.0        83.0       0.0        0.0        3390.0     0.0        
S9         f          18.0       58.0       0.0        0.0        3390.0     0.0        
S11        f          13.0       31.0       0.0        0.0        3390.0     0.0        
S12        f          -5.0       38.0       0.0        0.0        3390.0     0.0        
S14        f          28.0       13.0       0.0        0.0        3390.0     0.0        
S17        f          59.0       17.0       0.0        0.0        3390.0     0.0        
S19        f          74.0       32.0       0.0        0.0        3390.0     0.0        
S20        f          90.0       44.0       0.0        0.0        3390.0     0.0        
C4         c          60.0       66.0       10.0       36.0       196.0      90.0       
C6         c          16.0       42.0       20.0       2544.0     2704.0     90.0       
C7         c          58.0       70.0       20.0       224.0      384.0      90.0       
C8         c          34.0       60.0       20.0       12.0       172.0      90.0       
C11        c          35.0       69.0       10.0       121.0      281.0      90.0       
C12        c          25.0       85.0       20.0       508.0      668.0      90.0       
C14        c          22.0       85.0       10.0       601.0      761.0      90.0       
C15        c          20.0       80.0       40.0       411.0      571.0      90.0       
C16        c          20.0       85.0       40.0       693.0      853.0      90.0       
C17        c          18.0       75.0       20.0       978.0      1138.0     90.0       
C18        c          15.0       75.0       20.0       885.0      1045.0     90.0       
C20        c          30.0       50.0       10.0       3020.0     3180.0     90.0       
C22        c          28.0       52.0       20.0       3112.0     3272.0     90.0       
C25        c          22.0       66.0       40.0       1078.0     1238.0     90.0       
C27        c          23.0       52.0       10.0       2832.0     2992.0     90.0       
C31        c          10.0       35.0       20.0       2260.0     2420.0     90.0       
C32        c          10.0       40.0       30.0       2447.0     2607.0     90.0       
C33        c          8.0        40.0       40.0       2355.0     2515.0     90.0       
C39        c          0.0        45.0       20.0       1882.0     2042.0     90.0       
C40        c          36.0       18.0       10.0       968.0      1128.0     90.0       
C43        c          33.0       35.0       10.0       27.0       187.0      90.0       
C44        c          32.0       20.0       10.0       874.0      1034.0     90.0       
C46        c          34.0       25.0       30.0       778.0      938.0      90.0       
C47        c          30.0       35.0       10.0       307.0      467.0      90.0       
C50        c          26.0       32.0       10.0       495.0      655.0      90.0       
C53        c          44.0       5.0        20.0       1671.0     1831.0     90.0       
C54        c          42.0       10.0       40.0       1766.0     1926.0     90.0       
C55        c          42.0       15.0       10.0       1861.0     2021.0     90.0       
C57        c          38.0       15.0       40.0       1201.0     1361.0     90.0       
C58        c          38.0       5.0        30.0       1485.0     1645.0     90.0       
C60        c          35.0       5.0        20.0       1392.0     1552.0     90.0       
C61        c          50.0       30.0       10.0       2339.0     2499.0     90.0       
C63        c          50.0       40.0       50.0       1910.0     2070.0     90.0       
C64        c          48.0       30.0       10.0       2247.0     2407.0     90.0       
C68        c          42.0       30.0       10.0       2151.0     2311.0     90.0       
C71        c          95.0       35.0       20.0       940.0      1100.0     90.0       
C76        c          90.0       35.0       10.0       845.0      1005.0     90.0       
C77        c          72.0       45.0       10.0       1614.0     1774.0     90.0       
C79        c          87.0       30.0       10.0       1322.0     1482.0     90.0       
C81        c          85.0       35.0       30.0       1417.0     1577.0     90.0       
C85        c          86.0       46.0       30.0       743.0      903.0      90.0       
C88        c          65.0       60.0       30.0       131.0      291.0      90.0       
C89        c          56.0       64.0       10.0       22.0       182.0      90.0       
C90        c          60.0       55.0       10.0       21.0       181.0      90.0       
C93        c          42.0       58.0       40.0       1369.0     1529.0     90.0       
C94        c          65.0       82.0       10.0       509.0      669.0      90.0       
C95        c          62.0       80.0       30.0       416.0      576.0      90.0       
C96        c          62.0       40.0       10.0       1808.0     1968.0     90.0       
C97        c          60.0       85.0       30.0       700.0      860.0      90.0       
C98        c          58.0       75.0       20.0       319.0      479.0      90.0       
C100       c          55.0       85.0       20.0       795.0      955.0      90.0       

Q Vehicle fuel tank capacity /118.31/
C Vehicle load capacity /700.0/
r fuel consumption rate /1.0/
g inverse refueling rate /2.28/
v average Velocity /1.0/
n Vehicle count /3.0/
